	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	0.87 ± 0.00_4	0.59 ± 0.00_1	0.62 ± 0.00_1	0.92 ± 0.00_1	0.93 ± 0.00_1	0.89 ± 0.00_1	0.49 ± 0.00_1	0.66 ± 0.00_1
rn50-swav	0.91 ± 0.00_1	0.75 ± 0.00_1	0.76 ± 0.00_1		0.98 ± 0.00_1	0.88 ± 0.00_1	0.66 ± 0.00_1	0.78 ± 0.00_1
vitb32-clip	0.95 ± 0.00_1	0.80 ± 0.00_1	0.75 ± 0.00_1	0.95 ± 0.00_1	0.97 ± 0.00_1	0.89 ± 0.00_1	0.75 ± 0.00_1	0.83 ± 0.00_1
