	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	SUB-778	SUB-819	SUB-777	SUB-775	SUB-776	SUB-782	SUB-785	SUB-783
rn50-swav	SUB-911	SUB-847	SUB-913		SUB-912			SUB-914
vitb32-clip	manual	manual	manual	manual	manual	manual	manual	manual
