	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	0.95 ± 0.00_1	0.76 ± 0.00_1	0.67 ± 0.00_1	0.97 ± 0.00_1	0.94 ± 0.00_1	0.89 ± 0.00_1	0.51 ± 0.00_1	0.69 ± 0.00_1
rn50-swav	0.96 ± 0.00_1	0.80 ± 0.00_1	0.71 ± 0.00_1		0.97 ± 0.00_1			0.67 ± 0.00_1
vitb32-clip	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1
