	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	nan ± nan_4	0.59 ± 0.00_1	0.59 ± 0.00_1	0.90 ± 0.00_1	0.68 ± 0.00_1	0.88 ± 0.00_1	nan ± nan_1	0.60 ± 0.00_1
rn50-swav	0.83 ± 0.00_1	0.59 ± 0.00_1	0.69 ± 0.00_1		0.73 ± 0.00_1	0.73 ± 0.00_1	0.54 ± 0.00_1	0.60 ± 0.00_1
vitb32-clip	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1	0.00 ± 0.00_1
