	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	nan ± nan_1	nan ± nan_1	nan ± nan_1	nan ± nan_1	nan ± nan_1	nan ± nan_1	nan ± nan_1	nan ± nan_1
rn50-swav	nan ± nan_1	nan ± nan_1	nan ± nan_1		nan ± nan_1			nan ± nan_1
vitb32-clip	1.00 ± 0.00_1	1.00 ± 0.00_1	1.00 ± 0.00_1	1.00 ± 0.00_1	1.00 ± 0.00_1	1.00 ± 0.00_1	1.00 ± 0.00_1	1.00 ± 0.00_1
