	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	0.95 ± 0.00_1	0.76 ± 0.00_1	0.66 ± 0.00_1	0.97 ± 0.00_1	0.96 ± 0.00_1	0.85 ± 0.00_1	0.48 ± 0.00_1	0.66 ± 0.00_1
rn50-swav	0.96 ± 0.00_1	0.80 ± 0.00_1	0.71 ± 0.00_1	0.97 ± 0.00_1	0.97 ± 0.00_1	0.86 ± 0.00_1	0.48 ± 0.00_1	0.63 ± 0.00_1
