	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	0.15 ± 0.00_1	0.36 ± 0.00_1	0.07 ± 0.00_1	0.07 ± 0.00_1	0.07 ± 0.00_1	0.04 ± 0.00_1	0.32 ± 0.00_1	0.11 ± 0.00_1
rn50-swav	0.10 ± 0.00_1	0.23 ± 0.00_1	0.05 ± 0.00_1	0.04 ± 0.00_1	0.05 ± 0.00_1	0.04 ± 0.00_1	0.19 ± 0.00_1	0.08 ± 0.00_1
vitb32-clip	0.00 ± 0.00_1	0.01 ± 0.00_1	0.00 ± 0.00_1		0.00 ± 0.00_1	0.00 ± 0.00_1	0.01 ± 0.00_1	0.00 ± 0.00_1
