	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	SUB-647,SUB-643,SUB-642,SUB-641	SUB-821	SUB-668	SUB-666	SUB-648	SUB-665	SUB-649	SUB-667
rn50-swav	SUB-865	SUB-863	SUB-864		SUB-862	SUB-866	SUB-867	SUB-861
vitb32-clip	manual	manual	manual	manual	manual	manual	manual	manual
