	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm	0.95 ± 0.00_1	0.76 ± 0.00_1	0.66 ± 0.00_1	0.97 ± 0.00_1	0.95 ± 0.00_1	0.85 ± 0.00_1	0.48 ± 0.00_1	0.66 ± 0.00_1
rn50-swav	0.96 ± 0.00_1	0.80 ± 0.00_1	0.70 ± 0.00_1	0.97 ± 0.00_1	0.96 ± 0.00_1	0.86 ± 0.00_1	0.47 ± 0.00_1	0.65 ± 0.00_1
vitb32-clip	0.97 ± 0.00_1	0.82 ± 0.00_1	0.72 ± 0.00_1		0.92 ± 0.00_1	0.84 ± 0.00_1	0.66 ± 0.00_1	0.79 ± 0.00_1
