[2022-10-31 21:09:58,872][volt.log][INFO] - Running mvp...
[2022-10-31 21:09:59,345][volt.log][INFO] - Executing train...
[2022-10-31 21:10:02,316][volt.log][INFO] - Loaded model checkpoint from /home/ook/ai/thesis/prunetuning/data/models/checkpoints/159184b3-5439-4807-9882-25893f53a301/epoch=0-step=3.ckpt
[2022-10-31 21:10:02,541][volt.log][INFO] - Executing train...Done
[2022-10-31 21:10:02,542][volt.log][INFO] - Running mvp...Done
[2022-10-31 21:10:02,542][volt.log][INFO] - Running main...
[2022-10-31 21:10:03,842][volt.log][INFO] - Executing train...
[2022-10-31 21:13:43,146][volt.log][INFO] - Loaded model checkpoint from /home/ook/ai/thesis/prunetuning/data/models/checkpoints/SUB-3/epoch=16-step=7973.ckpt
[2022-10-31 21:13:44,460][volt.log][INFO] - Executing train...Done
[2022-10-31 21:13:44,460][volt.log][INFO] - Running main...Done
