vitb32-clip+P	Submasked
cifar10	0.97 ± 0.00_1
cifar100	0.83 ± 0.00_1
dtd	0.74 ± 0.00_1
eurosat	
flowers	0.97 ± 0.00_1
oxfordpets	0.89 ± 0.00_1
sun397	0.67 ± 0.00_1
ucf101	0.82 ± 0.00_1
