rn18-timm	Full FT	Submasked	Linear Probe
cifar10	SUB-778	SUB-791	SUB-647,SUB-643,SUB-642,SUB-641
cifar100	SUB-819	SUB-820	SUB-821
dtd	SUB-777	SUB-797	SUB-668
eurosat	SUB-775	SUB-798	SUB-666
flowers	SUB-776	SUB-789	SUB-648
oxfordpets	SUB-782	SUB-794	SUB-665
sun397	SUB-785	SUB-790	SUB-649
ucf101	SUB-783	SUB-795	SUB-667
