rn50-swav	Full FT	Submasked	Linear Probe
cifar10	SUB-911	SUB-781	SUB-865
cifar100	SUB-847	SUB-844	SUB-863
dtd	SUB-913	SUB-787	SUB-864
eurosat		SUB-788	
flowers	SUB-912	SUB-779	SUB-862
oxfordpets		SUB-784	SUB-866
sun397		SUB-780	SUB-867
ucf101	SUB-914	SUB-786	SUB-861
