vitb32-clip	Full FT	Submasked	Linear Probe
cifar10	manual	SUB-945	manual
cifar100	manual	SUB-947	manual
dtd	manual	SUB-948	manual
eurosat	manual		manual
flowers	manual	SUB-944	manual
oxfordpets	manual	SUB-943	manual
sun397	manual	SUB-946	manual
ucf101	manual	SUB-937	manual
