acc	sparsity	model
0.9511999487876892	0.7878281474113464	resnet18
0.9351999759674072	0.7920740842819214	resnet26
0.9607999920845032	0.8488761186599731	resnet34
0.9583999514579773	0.8540555238723755	resnet50
