Model+Method	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm+LP	SUB-647,SUB-643,SUB-642,SUB-641	SUB-821	SUB-668	SUB-666	SUB-648	SUB-665	SUB-649	SUB-667
rn18-timm+FS	SUB-791	SUB-820	SUB-797	SUB-798	SUB-789	SUB-794	SUB-790	SUB-795
rn18-timm+FFT	SUB-778	SUB-819	SUB-777	SUB-775	SUB-776	SUB-782	SUB-785	SUB-783
rn50-swav+LP	SUB-865	SUB-863	SUB-864		SUB-862	SUB-866	SUB-867	SUB-861
rn50-swav+FS	SUB-781	SUB-844	SUB-787	SUB-788	SUB-779	SUB-784	SUB-780	SUB-786
rn50-swav+FFT	SUB-911	SUB-847	SUB-913		SUB-912			SUB-914
vitb32-clip+FFT	manual	manual	manual	manual	manual	manual	manual	manual
vitb32-clip+FS	SUB-945	SUB-947	SUB-948		SUB-944	SUB-943	SUB-946	SUB-937
vitb32-clip+LP	manual	manual	manual	manual	manual	manual	manual	manual
