Model+Method	cifar10	cifar100	dtd	eurosat	flowers	oxfordpets	sun397	ucf101
rn18-timm+LP	0.00	nan	0.00	0.00	0.00	0.00	0.00	0.00
rn18-timm+FS	0.15	0.36	0.07	0.07	0.07	0.04	0.32	0.11
rn18-timm+FFT	nan	nan	nan	nan	nan	nan	nan	nan
rn50-swav+LP	nan	nan	nan		nan	nan	nan	nan
rn50-swav+FS	0.10	0.23	0.05	0.04	0.05	0.04	0.19	0.08
rn50-swav+FFT	nan	nan	nan		nan			nan
vitb32-clip+FFT	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
vitb32-clip+FS	0.00	0.01	0.00		0.00	0.00	0.01	0.00
vitb32-clip+LP	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
