[2022-10-31 23:30:43,664][volt.log][INFO] - Running mvp...
[2022-10-31 23:30:44,342][volt.log][INFO] - Executing train...
[2022-10-31 23:30:49,349][volt.log][INFO] - Loaded model checkpoint from /home/ook/ai/thesis/prunetuning/data/models/checkpoints/cc95d1cb-d206-43dc-98c7-a7eb11e85ed7/epoch=0-step=3.ckpt
[2022-10-31 23:30:49,645][volt.log][INFO] - Executing train...Done
[2022-10-31 23:30:49,645][volt.log][INFO] - Running mvp...Done
[2022-10-31 23:30:49,645][volt.log][INFO] - Running main...
[2022-10-31 23:30:51,373][volt.log][INFO] - Executing train...
[2022-10-31 23:31:09,261][volt.log][INFO] - Loaded model checkpoint from /home/ook/ai/thesis/prunetuning/data/models/checkpoints/SUB-8/epoch=0-step=469.ckpt
[2022-10-31 23:31:11,373][volt.log][INFO] - Executing train...Done
[2022-10-31 23:31:11,373][volt.log][INFO] - Running main...Done
